ID,牌名,稀有度,类型,目标,费用,描述,伤害值,格挡值,特殊值,费用+,强化版描述,伤害值+,格挡值+,特殊值+,命途,属性,象限
SlaughterhouseNo4RestInPeace,《四号屠场 ? 众生安眠》,RARE,POWER,SELF,2,你 hsrmod:追击 后，若对有 hsrmod:击破状态 的目标造成了伤害，则有 !M! %的概率摸1张牌。,,,75,,你打出 hsrmod:追击 牌后，若对有 hsrmod:击破状态 的目标造成了伤害，则有 !M! %的概率摸1张牌。,,,90,欢愉,,运转
PhantomThief,幻影怪盗,RARE,POWER,SELF,3,你 hsrmod:追击 后，有 !M! %的概率随机无消耗的打出一张手牌（若为 hsrmod:追击 牌则视为触发了 hsrmod:追击 ）。,,,66,,你打出 hsrmod:追击 牌后，有 !M! %的概率随机无消耗的打出一张手牌（若为 hsrmod:追击 牌则视为触发了 hsrmod:追击 ）。,,,75,欢愉,,运转
BountyHunter,赏金猎人,RARE,POWER,SELF,1,你 hsrmod:追击 后，有 !M! %的概率将该牌返还手卡。,,,25,,你打出 hsrmod:追击 牌后，有 !M! %的概率将该牌返还手卡。,,,40,欢愉,,运转
VineyardAgainstTheNight,《葡萄庄园 ? 抵抗黑夜》,RARE,SKILL,SELF,1,获得1层 hsrmod:回味 。,,,1,,固有。消耗。获得1层 hsrmod:回味 。,,,,欢愉,,攻击
Symbiote,共生体,RARE,POWER,SELF,2, hsrmod:击破 后，回复 [E] [E] 。造成 hsrmod:击破伤害 后，摸1张牌。,,,,1,,,,,毁灭,,运转
RegressionInequalityOfAnnihilation,湮灭回归不等式,RARE,SKILL,SELF_AND_ENEMY,0,令所有个体（包括你）平均分摊 hsrmod:韧性 ，且你的权重为 !M! 。,,,2,,,,,3,毁灭,,防御
VoyageMonitor,远航监护员,RARE,POWER,SELF,1, hsrmod:击破 后，获得其 hsrmod:韧性 上限的 hsrmod:韧性 。,,,,, hsrmod:击破 后，获得其 hsrmod:韧性 上限的 hsrmod:韧性 。造成 hsrmod:击破伤害 后，获得1层 hsrmod:韧性 。,,,,毁灭,,防御
PreBattleCaregiver,战前关怀员,RARE,SKILL,SELF,1,消耗。将你的 hsrmod:击破特攻 层数翻倍，然后获得 hsrmod:击破特攻 数量的格挡。,,,,0,,,,,毁灭,,防御
DisruptivePulse,扰乱性脉冲,RARE,ATTACK,ENEMY,2,消耗。保留。消耗80点 hsrmod:充能 ，造成 hsrmod:击破特攻 数量的物理属性伤害（ !M! ），若 hsrmod:击破 ，则将 hsrmod:充能 和 [E] 回复至上限。,0,,4,1,,,,6,毁灭,物理,运转
AntimatterLegion,反物质军团,COMMON,ATTACK,ENEMY,1,造成 !D! 点火属性伤害（ !M! ），若没有击破，则将此牌返还手卡。,4,,6,,,,,9,毁灭,火,攻击
Wastelander,废土客,COMMON,ATTACK,ENEMY,1,造成 !D! 点雷属性伤害（ !M! ），若 hsrmod:击破 ，则摸其负面效果数量的牌。,4,,4,,造成 hsrmod:击破特攻 数量的雷属性伤害（ !M! ），然后若其有 hsrmod:击破状态 ，则摸其负面效果数量的牌。,,,6,毁灭,雷,运转
NightBeyondPyre,火堆外的夜,COMMON,SKILL,SELF,1,消耗。若你没有，则获得 !M! 层 hsrmod:击破效率 。若你没有，则获得 !B! 点格挡。,,5,1,,,,8,,毁灭,,防御
StarcrusherWorker,碎星蠧役,COMMON,SKILL,ENEMY,0,移除 !M! 层 hsrmod:韧性 （至少保留1层），若你的 hsrmod:韧性 少于其，则你获得等量的 hsrmod:韧性 。,,,5,,,,,7,毁灭,,防御
CleftSingularity,突裂奇点,COMMON,SKILL,SELF,1,获得 !M! 层 hsrmod:击破特攻 。,,,4,,,,,6,毁灭,,运转
IntersegmentalMembrane,节间膜,RARE,POWER,SELF,1,你每消耗1点 [E] ，便获得 !M! 点格挡。,,,4,,,,,6,繁育,,防御
FungalPustule,菌种脓疱,COMMON,SKILL,SELF,1,消耗。回复 [E] [E] ，摸 !M! 张牌。,,,1,,回复 [E] [E] ，摸 !M! 张牌，然后此牌于此次战斗的耗能和回 [E] +1。,,,,繁育,,运转
Kolchis,科尔奇人,RARE,POWER,SELF,2,你消耗 hsrmod:充能 后，回复 [E] 。你消耗 [E] 后，回复 !M!  hsrmod:充能 。,,,20,,,,,30,智识,,运转
Aggregator,聚合者,RARE,SKILL,SELF,1,消耗。你手牌中每有一个需要消耗 hsrmod:充能 的卡，你便摸1张牌，并回复1点 [E] 和 !M! 点 hsrmod:充能 。,,,20,,,,,40,智识,,运转
BCI34GrayMatter,BCI -34 型灰质,COMMON,SKILL,SELF,1,获得 !M! 层 hsrmod:罐中脑 。,,,2,,固有。获得 !M! 层 hsrmod:罐中脑 。,,,3,智识,,运转
DivineConstructMacrosegregation,神性构筑 ? 宏观偏析,RARE,POWER,SELF,2,你失去所有 敏捷 。你获得的格挡值增加100%，且回合开始时仅损失当前格挡的 !M! %。,,,66,,你获得的格挡值增加100%，且回合开始时仅损失当前格挡的 !M! %。,,,50,丰饶,,防御
TerminalNirvana,无余涅槃,RARE,SKILL,SELF,2,消耗。保留。消耗 !M! 点 hsrmod:充能 ，获得1层 无实体 。,,,120,,保留。消耗 !M! 点 hsrmod:充能 ，获得1层 无实体 ，然后此牌于此次战斗内所需 hsrmod:充能 翻倍。,,,60,丰饶,,防御
Anicca,诸行无常,UNCOMMON,SKILL,SELF,0,消耗。你获得 !M! 层 人工制品 。,,,2,,消耗。你获得 !M! 层 人工制品 ，然后消耗你手牌中所有诅咒牌。,,,3,丰饶,,防御
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,4,,,,,,,
,,,,,,,,,,4,,,,,,,
